station_name,label
"De Vere Gardens, Kensington",0
"Denyer Street, Knightsbridge",2
"Derry Street, Kensington",2
"Devons Road, Bow",1
"Devonshire Square, Liverpool Street",1
"Devonshire Terrace, Bayswater",1
"Dickens Square, Borough",1
"Disraeli Road, Putney",1
"Dock Street, Wapping",1
"Doddington Grove, Kennington",2
"Doric Way , Somers Town",0
"Dorothy Road, Clapham Junction",1
"Dorset Square, Marylebone",1
"Drayton Gardens, West Chelsea",1
"Driffield Road, Old Ford",1
"Drummond Street , Euston",1
"Drury Lane, Covent Garden",0
"Duke Street Hill, London Bridge",1
"Dunston Road , Haggerston",1
"Durant Street, Bethnal Green",1
"Eagle Wharf Road, Hoxton",2
"Earnshaw Street , Covent Garden",0
"East Ferry Road, Cubitt Town",1
"East India DLR, Blackwall",1
"East Road, Hoxton",1
"East Village, Queen Elizabeth Olympic Park",1
"Eastbourne Mews, Paddington",1
"Eaton Square (South), Belgravia",1
"Eaton Square, Belgravia",1
"Ebury Bridge, Pimlico",1
"Eccleston Place, Victoria",1
"Edgware Road Station, Marylebone",1
"Eel Brook Common, Walham Green",1
"Elizabeth Bridge, Victoria",1
"Elysium Place, Fulham",1
"Embankment (Savoy), Strand",0
"Emperor's Gate, South Kensington",1
"Empire Square, The Borough",2
"Endsleigh Gardens, Euston",1
"Erin Close, Walham Green",2
"Esmond Street, Putney",2
"Ethelburga Estate, Battersea Park",1
"Euston Road, Euston",1
"Euston Square Gardens, Euston",1
"Everington Street, Fulham",1
"Eversholt Street , Camden Town",1
"Evesham Street, Avondale",1
"Exhibition Road Museums, South Kensington",0
"Exhibition Road, Knightsbridge",2
"Falcon Road, Clapham Junction",2
"Falkirk Street, Hoxton",1
"Fanshaw Street, Hoxton",1
"Farm Street, Mayfair",0
"Farringdon Lane, Clerkenwell",1
"Farringdon Street, Holborn",0
"Fashion Street, Whitechapel",1
"Fawcett Close, Battersea",2
"Felsham Road, Putney",1
"Ferndale Road, Brixton",1
"Finlay Street, Fulham",1
"Finnis Street, Bethnal Green",1
"Finsbury Circus, Liverpool Street",0
"Finsbury Leisure Centre, St. Luke's",1
"Finsbury Library , Finsbury",1
"Finsbury Square , Moorgate",0
"Fire Brigade Pier, Vauxhall",2
"Fisherman's Walk West, Canary Wharf",1
"Flamborough Street, Limehouse",1
"Flood Street, Chelsea",0
"Foley Street, Fitzrovia",2
"Ford Road, Old Ford",2
"Fore Street Avenue, Guildhall",0
"Fore Street, Guildhall",0
"Fournier Street, Whitechapel",1
"Frampton Street, Paddington",1
"Freston Road, Avondale",1
"Frith Street, Soho",0
"Fulham Broadway, Walham Green",2
"Fulham Park Road, Fulham",1
"Furze Green, Bow",1
"Garnet Street, Shadwell",1
"Gas Holders, Battersea Park",1
"Gaywood  Street, Elephant & Castle",1
"George Place Mews, Marylebone",0
"George Street, Marylebone",0
"Geraldine Street, Elephant & Castle",1
"Globe Town Market, Bethnal Green",1
"Gloucester Avenue, Camden Town",1
"Gloucester Road (Central), South Kensington",1
"Gloucester Road (North), Kensington",2
"Gloucester Road Station, South Kensington",1
"Gloucester Street, Pimlico",1
"Gloucester Terrace, Bayswater",1
"Godliman Street, St. Paul's",2
"Golden Lane, Barbican",1
"Golden Square, Soho",0
"Goldsmith's Row, Haggerston",1
"Good's Way, King's Cross",1
"Goswell Road (City Uni), Finsbury",1
"Grafton Street, Mayfair",0
"Graham Street, Angel",1
"Granby Street, Shoreditch",1
"Grant Road East, Clapham Junction",1
"Great Dover Street, The Borough",1
"Great Marlborough Street, Soho",2
"Great Percy Street, Clerkenwell",1
"Great Russell Street, Bloomsbury",0
"Great Suffolk Street, The Borough",1
"Great Titchfield Street, Fitzrovia",0
"Great Tower Street, Monument",0
"Green Park Station, Mayfair",0
"Green Street, Mayfair",0
"Greenberry Street, St.John's Wood",1
"Greenland Road, Camden Town",1
"Grenfell Road, Avondale",1
"Greycoat Street , Westminster",1
"Greyhound Road, Hammersmith",1
"Grosvenor Crescent, Belgravia",0
"Grosvenor Road, Pimlico",1
"Grosvenor Square, Mayfair",2
"Grove End Road, St. John's Wood",1
"Guildhouse Street, Victoria",1
"Guilford Street , Bloomsbury",0
"Gunmakers Lane, Old Ford",1
